Date,Energy,Food,Metals,Precious_Metals,Pauran_raw,Pauran
1960-04,2.134449,21.232864,12.929570,3.268735,13.125780,13.035116
1960-05,2.134449,21.087342,12.730654,3.268735,13.007896,13.042191
1960-06,2.134449,20.679259,12.751078,3.268735,12.850790,12.994822
1960-07,2.134449,20.820773,12.805475,3.268735,12.923715,12.927467
1960-08,2.134449,21.073486,12.650771,3.268735,12.978389,12.917631
1960-09,2.134449,21.305990,12.501877,3.268735,13.026722,12.976275
1960-10,2.134449,20.319184,12.324305,3.268735,12.578728,12.861280
1960-11,2.134449,19.787757,12.473067,3.268735,12.410786,12.672079
1960-12,2.134449,20.516910,12.412539,3.268735,12.684289,12.557935
1961-01,2.083332,21.095953,12.211652,3.267464,12.845290,12.646788
